# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.8248820345621697,4.779288038386054,0.00007677369020065366,0,2.0,0.00010663377096948058,0.0,0.0,-0.022277802462428394
 0.15948659362911308,1.8503180081095647,4.77928807246908,0.00007677369020065366,0.31897318725822615,2.0,0.00010663377096948058,-0.0035530108282749717,0.0023600270624217234,-0.1625528841223163
 0.22505584809529372,1.875532169323833,4.779288174353635,0.00023151890520365645,0.45011169619058744,2.0,0.00010859542707109511,-0.014211482251502705,0.0031255564821226914,-0.3553941429284202
 0.2750348623120828,1.900526210048395,4.779288343492931,0.0003877311370590437,0.5500697246241656,2.0,0.00011058908527370241,-0.031973731173485787,0.003767358067537792,-0.5940187943931566
 0.31689081331970737,1.9253018221266718,4.779288579340184,0.0005454174917620847,0.6337816266394147,2.0,0.00011261522648018888,-0.05683695272921396,0.004344984507128641,-0.8724590088730436
 0.35352321400962516,1.9498606974020845,4.779288881348605,0.000704584705218706,0.7070464280192503,2.0,0.00011467433332545679,-0.08879722072777985,0.004883192056474019,-1.1870180215346213
 0.3864226871735666,1.9742045277180535,4.779289248971408,0.000865239151235045,0.7728453743471332,2.0,0.0001167668898766624,-0.12784948827237297,0.00539518012842091,-1.5351648150708113
 0.4164768545384799,1.9983350049180002,4.779289681661807,0.0010273867977784613,0.8329537090769598,2.0,0.000118876544467771,-0.17398758855723728,0.005888977811709414,-1.9150538022873482
 0.44426544576275395,2.0222538208453447,4.7792901788730155,0.0011910331949168743,0.8885308915255079,2.0,0.00012105429358355709,-0.22720423584149219,0.006369896602545511,-2.3252802329068634
 0.47019212328960186,2.0459626673435087,4.779290740058246,0.0013561834500104358,0.9403842465792037,2.0,0.00012323298902726647,-0.2874910265996222,0.006841663181044107,-2.764741131211124
 0.4945515157435967,2.069463236255913,4.779291364670715,0.0015228422084755358,0.9891030314871934,2.0,0.00012544678200261797,-0.3548384408484956,0.007307008013375033,-3.232549732678818
 0.5175665994869635,2.0927572194259776,4.7792920521636315,0.0016910136098168146,1.035133198973927,2.0,0.00012769615198934272,-0.42923584365069656,0.007768002105218311,-3.72797961469599
 0.5394110438133621,2.115846308697124,4.779292801990212,0.0018607012993316035,1.0788220876267243,2.0,0.00012998157761581245,-0.5106714867938722,0.008226256107397894,-4.250426481916339
 0.5602233138828312,2.138732195912773,4.779293613603668,0.0020319083630993876,1.1204466277656624,2.0,0.0001323035362000576,-0.5991325106459383,0.00868305213658137,-4.799381030342622
 0.5801159698183,2.161416572916346,4.779294486457216,0.0022046373317221386,1.1602319396366,2.0,0.00013466250326460752,-0.6946049461857601,0.009139426370046121,-5.374409072775286
 0.5991820233389216,2.183901131551263,4.7792954200040665,0.0023788901240412177,1.1983640466778431,2.0,0.00013704089775928757,-0.7970737172090075,0.009596230751541122,-5.97513659722141
 0.6174994163757235,2.206187563660945,4.779296413697436,0.0025546680543890414,1.234998832751447,2.0,0.00013947513628004578,-0.9065226427088913,0.010054169897755235,-6.601238278563737
 0.6351342587810381,2.228277561088813,4.779297466990534,0.0027319717560522136,1.2702685175620763,2.0,0.00014192940816455218,-1.0229344394312934,0.010513836590728931,-7.252428470064774
 0.6521432214591125,2.250172815678288,4.779298579336577,0.0029108012102272945,1.304286442918225,2.0,0.00014440366907501393,-1.1462907246040293,0.010975727350567389,-7.9284540150786995
 0.668575339749497,2.27187501927279,4.779299750188778,0.0030911556603748264,1.337150679498994,2.0,0.00014691658060023233,-1.2765720188396763,0.01144026324819431,-8.629088420432163
 0.6844733956840142,2.293385863715742,4.7793009790003484,0.003273033605400221,1.3689467913680284,2.0,0.00014946858243512805,-1.4137577492116016,0.01190780189059824,-9.354127065492928
 0.6998749935330041,2.314707040850563,4.779302265224505,0.0034564327813846564,1.3997499870660082,2.0,0.00015204102321519052,-1.5578262525026754,0.012378643451292118,-10.103383210561017
 0.7148134080203115,2.3358402425206735,4.779303608314459,0.003641350088050651,1.429626816040623,2.0,0.0001546530518181215,-1.7087547786261381,0.012853043348184167,-10.876684630201082
 0.7293182613792005,2.3567871605694957,4.7793050077234245,0.003827781597031507,1.458636522758401,2.0,0.0001573050810254972,-1.8665194942180874,0.013331213392759965,-11.673870740809596
 0.7434160697100444,2.3775494868404503,4.779306462904615,0.0040157224882602155,1.4868321394200887,2.0,0.00015993858078822859,-2.031095486401067,0.013813328964535862,-12.4947901230593
 0.7571306882533982,2.398128913176958,4.779307973311244,0.004205167025822686,1.5142613765067965,2.0,0.00016265140808069742,-2.202456766718091,0.014299531630091868,-13.339298362756004
 0.7704836775692184,2.418527131422439,4.779309538396525,0.0043961085189005355,1.5409673551384369,2.0,0.00016538499313717927,-2.3805762752365096,0.014789932281690756,-14.20725615056114
 0.7834946071692518,2.438745833420314,4.779311157613672,0.0045885392866068745,1.5669892143385036,2.0,0.00016813910746858756,-2.5654258848211016,0.015284612182878325,-15.098527593722697
 0.7961813092046346,2.458786711014006,4.779312830415897,0.004782450607097434,1.5923626184092692,2.0,0.00017089304460001607,-2.7569764055756667,0.01578362780670213,-16.012978702617477
 0.8085600919132131,2.4786514560469333,4.7793145562564145,0.004977832706069677,1.6171201838264262,2.0,0.00017370784613709122,-2.955197589452464,0.01628700742947499,-16.95047602227031
